wkt_geom,freewayNO,dir,Old_id,ID,catch,s_catch,start,end,lat,lon,cwb_gauge
"LineString (121.70890799999999388 25.13710599999999928, 121.74043595562432074 25.13331355324572769)",國3,S,03F-000.6S,03F0006S,2.3,2.7,基金,瑪東系統(連接台62),25.137106,121.708908,466940
"LineString (121.6535559999999947 25.0899940000000008, 121.65882964144718414 25.06691713572348945)",國3,S,03F-008.7S,03F0087S,8.4,10,瑪東系統(連接台62),汐止系統(連接國1),25.089994,121.653556,C0AH00
"LineString (121.64346700000000112 25.06561100000000053, 121.64182886928124105 25.06121799628277813)",國3,S,03F-011.6S,03F0116S,2.1,2.5,汐止系統(連接國1),新台五路,25.065611,121.643467,01AG00
"LineString (121.63128100000000131 25.05274199999999851, 121.64182886928124105 25.06121799628277813)",國3,S,03F-013.6S,03F0136S,1.7,2,新台五路,南港(連接環東大道),25.052742,121.631281,01AG00
"LineString (121.6213860000000011 25.03653299999999859, 121.61942693735105081 25.04001893296611314)",國3,S,03F-015.8S,03F0158S,1.2,1.4,南港(連接環東大道),南港系統(連接國五),25.036533,121.621386,A1AA70
"LineString (121.59598099999999476 25.00743599999999844, 121.57572341344392441 25.00232080861051642)",國3,S,03F-020.1S,03F0201S,4.7,5.6,南港系統(連接國五),木柵(連接國3甲),25.007436,121.595981,C0AC80
"LineString (121.59293300000000215 24.99356699999999876, 121.58032213620147388 24.98152025517805441)",國3,S,03F-021.7S,03F0217S,6.3,7.5,木柵(連接國3甲),新店(中興路),24.993567,121.592933,A1AC40
"LineString (121.53057200000000648 24.96255000000000024, 121.52461934603762472 24.95902300622435632)",國3,S,03F-030.1S,03F0301S,4.1,4.9,新店(中興路),安坑(中央、安康路),24.96255,121.530572,A0A9M0
"LineString (121.50238099999999974 24.97888100000000122, 121.490420786848631 24.9927253837711234)",國3,S,03F-033.7S,03F0337S,4.8,5.7,安坑(中央、安康路),中和(連接台64),24.978881,121.502381,C0AG90
"LineString (121.45492500000000291 24.97524699999999953, 121.4451184209001724 24.97312759928404446)",國3,S,03F-039.4S,03F0394S,6.7,8,中和(連接台64),土城(連接台65),24.975247,121.454925,C0AD40
"LineString (121.41268100000000629 24.95050300000000121, 121.4020175245040889 24.97493000486378634)",國3,S,03F-044.7S,03F0447S,4.9,5.8,土城(連接台65),樹林,24.950503,121.412681,C0A520
"LineString (121.36527499999999691 24.94382500000000036, 121.36971437736431767 24.93903125723725012)",國3,S,03F-049.8S,03F0498S,3.3,3.9,樹林,三鶯,24.943825,121.365275,C0AC60
"LineString (121.34189999999999543 24.93602500000000077, 121.35601401927505094 24.93853200497364853)",國3,S,03F-052.5S,03F0525S,3.7,4.4,三鶯,鶯歌系統(連接國2),24.936025,121.3419,01A220
"LineString (121.31245800000000656 24.93022500000000008, 121.2832116352790166 24.92873587074902275)",國3,S,03F-055.9S,03F0559S,8.4,10,鶯歌系統(連接國2),大溪(連接台66),24.930225,121.312458,C0C490
